date,location,crop,disease
2026-03-27,Telangana,Pepper__bell,Pepper__bell___Bacterial_spot
2026-03-27,Telangana,Pepper__bell,Pepper__bell___Bacterial_spot
2026-03-27,Telangana,Pepper__bell,Pepper__bell___Bacterial_spot
2026-03-28,Telangana,Potato,Potato___Early_blight
2026-03-28,Telangana,Tomato,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-28,Telangana,Tomato,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-28,Telangana,Tomato,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-28,Telangana,Tomato,Tomato_Spider_mites_Two_spotted_spider_mite
2026-03-28,Telangana,Tomato,Tomato_Late_blight
2026-03-28,Telangana,Tomato,Tomato__Tomato_mosaic_virus
2026-03-28,Telangana,Tomato,Tomato_Late_blight
2026-03-28,Telangana,Potato,Potato___healthy
2026-03-28,Telangana,Tomato,Tomato_healthy
2026-03-28,Telangana,Tomato,Tomato_Leaf_Mold
2026-03-28,Telangana,Pepper__bell,Pepper__bell___Bacterial_spot
2026-03-28,Telangana,Tomato,Tomato__Tomato_YellowLeaf__Curl_Virus
2026-03-28,Telangana,Tomato,Tomato__Tomato_YellowLeaf__Curl_Virus
2026-03-28,Telangana,Tomato,Tomato__Tomato_YellowLeaf__Curl_Virus
2026-03-28,Telangana,Tomato,Tomato__Tomato_YellowLeaf__Curl_Virus
2026-03-28,Telangana,Tomato,Tomato__Tomato_YellowLeaf__Curl_Virus
2026-03-28,Telangana,Tomato,Tomato__Tomato_YellowLeaf__Curl_Virus
2026-03-28,Telangana,Tomato,Tomato__Tomato_YellowLeaf__Curl_Virus
2026-03-28,Telangana,Tomato,Tomato_Bacterial_spot
2026-03-28,Telangana,Pepper__bell,Pepper__bell___Bacterial_spot
2026-03-28,Telangana,Tomato,Tomato_Bacterial_spot
2026-03-28,Telangana,Tomato,Tomato_healthy
2026-03-28,Telangana,Tomato,Tomato_healthy
2026-03-28,Telangana,Tomato,Tomato_Early_blight
2026-03-28,Telangana,Tomato,Tomato_Bacterial_spot
2026-03-28,Telangana,Potato,Potato___Late_blight
2026-03-28,Telangana,Tomato,Tomato_Bacterial_spot
2026-03-28,Telangana,Pepper__bell,Pepper__bell___Bacterial_spot
2026-03-28,Telangana,Tomato,Tomato_Late_blight
2026-03-28,Telangana,Potato,Potato___healthy
2026-03-28,Telangana,Tomato,Tomato_Late_blight
2026-03-28,Telangana,Tomato,Tomato_Late_blight
2026-03-28,Telangana,Tomato,Tomato_Bacterial_spot
2026-03-28,Telangana,Pepper__bell,Pepper__bell___Bacterial_spot
